,Model,Threshold,Precision,Recall,F1,Specificity,Accuracy,ROC_AUC,PPV,NPV,Brier
0,LR,0.45,1,0.9761904761904762,0.9879518072289156,1,0.9912280701754386,0.998015873015873,1,0.9863013698630136,0.015279548655298463
1,GB,0.39,1,1,1,1,1,1,1,1,7.078209683169039e-7
